"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\storyApp\composer.json", "JSON", 0, 0, 0, 21, 0, 0, 21
"c:\xampp\htdocs\storyApp\composer.lock", "JSON", 0, 0, 0, 18, 0, 1, 19
"c:\xampp\htdocs\storyApp\controllers\Pages.php", "PHP", 79, 0, 0, 0, 4, 24, 107
"c:\xampp\htdocs\storyApp\controllers\Story.php", "PHP", 185, 0, 0, 0, 1, 48, 234
"c:\xampp\htdocs\storyApp\controllers\User.php", "PHP", 188, 0, 0, 0, 9, 52, 249
"c:\xampp\htdocs\storyApp\index.php", "PHP", 30, 0, 0, 0, 4, 14, 48
"c:\xampp\htdocs\storyApp\models\Database.php", "PHP", 142, 0, 0, 0, 14, 26, 182
"c:\xampp\htdocs\storyApp\models\story.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\storyApp\models\user.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\storyApp\public\auth.js", "JavaScript", 0, 35, 0, 0, 0, 10, 45
"c:\xampp\htdocs\storyApp\public\createStory.js", "JavaScript", 0, 22, 0, 0, 0, 3, 25
"c:\xampp\htdocs\storyApp\public\main.js", "JavaScript", 0, 92, 0, 0, 0, 12, 104
"c:\xampp\htdocs\storyApp\public\stories.js", "JavaScript", 0, 20, 0, 0, 0, 4, 24
"c:\xampp\htdocs\storyApp\public\style.css", "CSS", 0, 0, 308, 0, 21, 33, 362
"c:\xampp\htdocs\storyApp\public\updateStory.js", "JavaScript", 0, 24, 0, 0, 0, 1, 25
"c:\xampp\htdocs\storyApp\public\user_profile.js", "JavaScript", 0, 53, 0, 0, 1, 5, 59
"c:\xampp\htdocs\storyApp\router\Router.php", "PHP", 74, 0, 0, 0, 13, 20, 107
"c:\xampp\htdocs\storyApp\views\components\common\footer.php", "PHP", 73, 0, 0, 0, 3, 15, 91
"c:\xampp\htdocs\storyApp\views\components\common\navBar.php", "PHP", 208, 0, 0, 0, 4, 50, 262
"c:\xampp\htdocs\storyApp\views\components\common\storyCard.php", "PHP", 62, 0, 0, 0, 0, 8, 70
"c:\xampp\htdocs\storyApp\views\components\landing\about.php", "PHP", 12, 0, 0, 0, 0, 0, 12
"c:\xampp\htdocs\storyApp\views\components\landing\featuredStory.php", "PHP", 15, 0, 0, 0, 0, 2, 17
"c:\xampp\htdocs\storyApp\views\components\landing\hero.php", "PHP", 13, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\storyApp\views\components\profile\main_profile.php", "PHP", 150, 0, 0, 0, 13, 35, 198
"c:\xampp\htdocs\storyApp\views\components\profile\storyUserCard.php", "PHP", 32, 0, 0, 0, 0, 6, 38
"c:\xampp\htdocs\storyApp\views\components\profile\userCard.php", "PHP", 79, 0, 0, 0, 0, 21, 100
"c:\xampp\htdocs\storyApp\views\layouts\default.php", "PHP", 22, 0, 0, 0, 0, 10, 32
"c:\xampp\htdocs\storyApp\views\pages\about.php", "PHP", 2, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\storyApp\views\pages\contact.php", "PHP", 2, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\storyApp\views\pages\createStory.php", "PHP", 83, 0, 0, 0, 4, 28, 115
"c:\xampp\htdocs\storyApp\views\pages\editStory.php", "PHP", 84, 0, 0, 0, 4, 30, 118
"c:\xampp\htdocs\storyApp\views\pages\index.php", "PHP", 4, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\storyApp\views\pages\profile.php", "PHP", 60, 0, 0, 0, 1, 12, 73
"c:\xampp\htdocs\storyApp\views\pages\singleStory.php", "PHP", 239, 0, 0, 0, 13, 60, 312
"c:\xampp\htdocs\storyApp\views\pages\stories.php", "PHP", 115, 0, 0, 0, 4, 36, 155
"c:\xampp\htdocs\storyApp\views\pages\userPage.php", "PHP", 126, 0, 0, 0, 2, 39, 167
"c:\xampp\htdocs\storyApp\views\pages\writers.php", "PHP", 2, 0, 0, 0, 0, 1, 3
"Total", "-", 2081, 246, 308, 39, 115, 612, 3401